event_date,event_datetime_start,event_datetime_end,event_timezone,event_name,event_location_name,event_address,event_city,event_state,event_postal_code,event_country,event_latitude,event_longitude,event_info,event_type,univ_id
2016-08-10,2016-08-10 12:00:00,,,Genesys Works Chicago,Genesys Works Chicago,180 N Wabash Ave Ste 600,Chicago,IL,60601-3614,US,,,,,145637_req
2016-08-11,2016-08-11 09:00:00,,,John Hancock - High School Visit,John Hancock High Sch,4034 W 56th St,Chicago,IL,60629-4442,US,,,,,145637_req
2016-08-23,2016-08-23 18:00:00,,,Multicultural Academic Achievement Reception - Leona's,Leona's,11060 S Western Ave,Chicago,IL,60643-3928,US,,,,,145637_req
2016-08-24,2016-08-24 18:00:00,,,Reavis HS - College Fair,Reavis High Sch,6034 W 77th St,Burbank,IL,60459-3112,US,,,,,145637_req
2016-08-25,2016-08-25 18:00:00,,,Multicultural Academic Achievement Reception - Lou Malnati's,Lou Malnati's Pizzeria,6649 N Lincoln Ave,Lincolnwood,IL,60712-3605,US,,,,,145637_req
2016-08-26,2016-08-26 08:45:00,,,North Atlanta High School College Fair,North Atlanta High Sch,4111 Northside Pkwy NW,Atlanta,GA,30327-3015,US,,,,,145637_req
2016-08-27,2016-08-27 11:00:00,,,"Multicultural Academic Achievement Reception (Blingual, English/Spanish Program) - La Casa Resource Center *Programa Bilingue: Español e Ingles*",La Casa Resource Center,1815 S Paulina St,Chicago,IL,60608,US,,,,,145637_req
2016-08-27,2016-08-27 12:00:00,,,KIPP-Lovettt-Westminster College Day,Cobb Galleria,2 Galleria Pkwy SE,Atlanta,GA,30339-5938,US,,,,,145637_req
2016-08-28,2016-08-28 11:30:00,,,Woodward Academy College Fair,Woodward Academy,1586 Walker Ave,College Park,GA,30337,US,,,,,145637_req
2016-08-30,2016-08-30 08:55:00,,,Hinsdale Central High School Visit,Hinsdale Township HS Central,5500 S Grant St,Hinsdale,IL,60521-4578,US,,,,,145637_req
2016-08-30,2016-08-30 09:25:00,,,West Leyden High Sch - High School Visit,West Leyden High Sch,1000 N Wolf Rd,Northlake,IL,60164-1438,US,,,,,145637_req
2016-08-30,2016-08-30 10:15:00,,,Hinsdale South High School Visit,Hinsdale South High Sch,7401 Clarendon Hills Rd,Darien,IL,60561-4288,US,,,,,145637_req
2016-08-30,2016-08-30 12:00:00,,,Noble St-Muchin College Prep - High School Visit,Noble St-Muchin College Prep,1 N State St,Chicago,IL,60602-3302,US,,,,,145637_req
2016-08-30,2016-08-30 18:00:00,,,Multicultural Academic Achievement Reception - Giordano's,Giordano's Pizzeria,14325 S La Grange Rd,Orland Park,IL,60462-2788,US,,,,,145637_req
2016-08-31,2016-08-31 11:10:00,,,Adlai Stevenson High School Visit,Adlai E Stevenson High Sch,1 Stevenson Dr,Lincolnshire,IL,60069-2824,US,,,,,145637_req
2016-08-31,2016-08-31 18:00:00,,,Multicultural Academic Achievement Reception - Connie's,Connie's,2373 S Archer Ave,Chicago,IL,60616-1857,US,,,,,145637_req
2016-09-01,2016-09-01 09:36:00,,,Amos Alonzo Stagg High School Visit,Amos Alonzo Stagg High Sch,8015 W 111th St,Palos Hills,IL,60465-2203,US,,,,,145637_req
2016-09-01,2016-09-01 18:00:00,,,Multicultural Academic Achievement Reception - Paisan's,Paisan's,6226 Ogden Ave,Berwyn,IL,60402-3825,US,,,,,145637_req
2016-09-02,2016-09-02 10:05:00,,,J B Conant High School Visit,J B Conant High Sch,700 E Cougar Trl,Hoffman Est,IL,60169-3659,US,,,,,145637_req
2016-09-02,2016-09-02 12:03:00,,,Palatine High School Visit,Palatine High Sch,1111 N Rohlwing Rd,Palatine,IL,60074-3777,US,,,,,145637_req
2016-09-06,2016-09-06 08:00:00,,,Oakwood High School Visit,Oakwood High Sch,5870 US Route 150,Fithian,IL,61844-5195,US,,,,,145637_req
2016-09-06,2016-09-06 08:55:00,,,Downer's Grove South High School Visit,Comm HS Dist 99 South Hs,1436 Norfolk St,Downers Grove,IL,60516-2632,US,,,,,145637_req
2016-09-06,2016-09-06 09:00:00,,,Marion High School Visit,Marion High Sch,1700 Wildcat Dr,Marion,IL,62959-1506,US,,,,,145637_req
2016-09-06,2016-09-06 09:15:00,,,Marian Catholic High Sch - High School Visit,Marian Catholic High Sch,700 Ashland Ave,Chicago Hts,IL,60411-2073,US,,,,,145637_req
2016-09-06,2016-09-06 09:30:00,,,Danville High School Visit,Danville High Sch,202 E Fairchild St,Danville,IL,61832-3114,US,,,,,145637_req
2016-09-06,2016-09-06 10:30:00,,,Westville High School Visit,Westville High Sch,918 N State St,Westville,IL,61883-1218,US,,,,,145637_req
2016-09-06,2016-09-06 10:50:00,,,Downer's Grove North High School Visit,Comm HS Dist 99 North Hs,4436 Main St,Downers Grove,IL,60515-2867,US,,,,,145637_req
2016-09-06,2016-09-06 11:30:00,,,Carmi-White County High School Visit,Carmi-White County High Sch,800 W Main St,Carmi,IL,62821-1350,US,,,,,145637_req
2016-09-06,2016-09-06 11:45:00,,,Hoopeston Area High School,Hoopeston Area High Sch,615 E Orange St,Hoopeston,IL,60942-1855,US,,,,,145637_req
2016-09-06,2016-09-06 11:50:00,,,Noble St-Baker College Prep - High School Visit,Noble St-Baker College Prep,2710 E 89th St,Chicago,IL,60617-3192,US,,,,,145637_req
2016-09-06,2016-09-06 13:00:00,,,Hamilton County Senior High School Visit,Hamilton County Senior HS,1 Fox Ln,Mc Leansboro,IL,62859-1149,US,,,,,145637_req
2016-09-06,2016-09-06 14:00:00,,,Hoffman Estates High School Visit,Hoffman Estates High Sch,1100 W Higgins Rd,Hoffman Est,IL,60169-4050,US,,,,,145637_req
2016-09-06,2016-09-06 14:30:00,,,Bismarck-Henning High School Visit,Bismarck-Henning High Sch,17268 E 2750 North Rd,Bismarck,IL,61814-5130,US,,,,,145637_req
2016-09-07,2016-09-07 09:06:00,,,Urbana High School - High School Visit,Urbana High Sch,1002 S Race St,Urbana,IL,61801-4957,US,,,,,145637_req
2016-09-07,2016-09-07 09:45:00,,,Sacred Heart Griffin Vist,Sacred Heart Griffin Hs,1200 W Washington St,Springfield,IL,62702-4770,US,,,,,145637_req
2016-09-07,2016-09-07 10:03:00,,,Lincoln Way East High School Visit,Lincoln-Way East High Sch,201 Colorado Ave,Frankfort,IL,60423-1333,US,,,,,145637_req
2016-09-07,2016-09-07 10:45:00,,,Glenwood High School Visit,Glenwood High Sch,1501E E Plummer Blvd,Chatham,IL,62629,US,,,,,145637_req
2016-09-07,2016-09-07 10:45:00,,,St Ignatius College Prep - High School visit,St Ignatius College Prep,1076 W Roosevelt Rd,Chicago,IL,60608-1531,US,,,,,145637_req
2016-09-07,2016-09-07 11:00:00,,,Johnston City High School Visit,Johnston City High Sch,1500 Jefferson Ave,Johnston City,IL,62951-1501,US,,,,,145637_req
2016-09-07,2016-09-07 11:55:00,,,Lincoln Way West High School Visit,Lincoln-Way West High School,21701 Gougar Rd,New Lenox,IL,60451-1576,US,,,,,145637_req
2016-09-07,2016-09-07 12:05:00,,,Springfield High School Visit,Springfield High Sch,101 S Lewis St,Springfield,IL,62704-1817,US,,,,,145637_req
2016-09-07,2016-09-07 13:58:00,,,Herrin High School Visit,Herrin High Sch,700 N 10th St,Herrin,IL,62948-3338,US,,,,,145637_req
2016-09-07,2016-09-07 14:02:00,,,Lincoln Way Central High School Visit,Lincoln-Way Central HS,1801 E Lincoln Hwy,New Lenox,IL,60451-3801,US,,,,,145637_req
2016-09-07,2016-09-07 15:00:00,,,Carterville High School Visit,Carterville High Sch,1415 W Grand Ave,Carterville,IL,62918-2303,US,,,,,145637_req
2016-09-07,2016-09-07 15:45:00,,,Rochelle Zell  Jewish High Sch - High School Visit,Rochelle Zell  Jewish High Sch,1095 Lake Cook Rd,Deerfield,IL,60015-5221,US,,,,,145637_req
2016-09-08,2016-09-08 08:00:00,,,Belvidere North High School Visit,Belvidere North High School,9393 Beloit Rd,Belvidere,IL,61008-9735,US,,,,,145637_req
2016-09-08,2016-09-08 09:00:00,,,Francis Parker -  High School Visit,Francis W Parker Sch,330 W Webster Ave,Chicago,IL,60614-3820,US,,,,,145637_req
2016-09-08,2016-09-08 09:11:00,,,Barrington High School Visit,Barrington Comm Hs,616 W Main St,Barrington,IL,60010-3015,US,,,,,145637_req
2016-09-08,2016-09-08 09:45:00,,,Cissna Park High School Visit,Cissna Park High Sch,511 N 2nd St,Cissna Park,IL,60924-9734,US,,,,,145637_req
2016-09-08,2016-09-08 10:00:00,,,North Boone High School,North Boone High Sch,17641 Poplar Grove Rd,Poplar Grove,IL,61065-9014,US,,,,,145637_req
2016-09-08,2016-09-08 10:15:00,,,Teutopolis High School Visit,Teutopolis High Sch,801 W Main St,Teutopolis,IL,62467-1271,US,,,,,145637_req
2016-09-08,2016-09-08 11:11:00,,,Lake Zurich High School Visit,Lake Zurich Senior High Sch,300 Church St,Lake Zurich,IL,60047-1553,US,,,,,145637_req
2016-09-08,2016-09-08 11:30:00,,,St. Anthony High School Visit,St Anthony High Sch,304 E Roadway Ave,Effingham,IL,62401-3208,US,,,,,145637_req
2016-09-08,2016-09-08 11:30:00,,,Williamsville High School Visit,Williamsville High Sch,900 S Walnut St,Williamsville,IL,62693-9712,US,,,,,145637_req
2016-09-08,2016-09-08 11:40:00,,,Hononegah Community,Hononegah Comm High Sch,307 Salem St,Rockton,IL,61072-2630,US,,,,,145637_req
2016-09-08,2016-09-08 12:21:00,,,Victor J. Andrew High School Visit,Victor J Andrew High Sch,9001 171st St,Orland Hills,IL,60487-6185,US,,,,,145637_req
2016-09-08,2016-09-08 12:37:00,,,Paxton Buckley Loda High School Visit,Paxton Buckley Loda Hs,341 E Center St,Paxton,IL,60957-1345,US,,,,,145637_req
2016-09-08,2016-09-08 12:40:00,,,Effingham High School Visit,Effingham High Sch,600 S Henrietta St,Effingham,IL,62401-1951,US,,,,,145637_req
2016-09-08,2016-09-08 13:54:00,,,Niles West High School Visit,Niles Township West Hs,5701 Oakton St,Skokie,IL,60077-2630,US,,,,,145637_req
2016-09-08,2016-09-08 14:10:00,,,Belvidere High School Visit,Belvidere High Sch,1500 East Ave,Belvidere,IL,61008-4563,US,,,,,145637_req
2016-09-08,2016-09-08 14:12:00,,,Gibson City High School Visit,Gibson City/Melvin-Sibley Hs,815 N Church St,Gibson City,IL,60936-1074,US,,,,,145637_req
2016-09-08,2016-09-08 14:30:00,,,Altamont High School Visit,Altamont High School,7 S Ewing St,Altamont,IL,62411-1265,US,,,,,145637_req
2016-09-08,2016-09-08 14:30:00,,,Southeast High School Visit,Springfield Southeast Hs,2350 E Ash St,Springfield,IL,62703-3371,US,,,,,145637_req
2016-09-08,2016-09-08 18:00:00,,,FUHSD College Fair,Cupertino High Sch,10100 Finch Ave,Cupertino,CA,95014-3411,US,,,,,145637_req
2016-09-09,2016-09-09 08:00:00,,,Stillman Valley High School Visit,Stillman Valley High Sch,425 S Pine St,Stillman Vly,IL,61084-8943,US,,,,,145637_req
2016-09-09,2016-09-09 09:18:00,,,Neuqua Valley High School Visit,Neuqua Valley High Sch,2360 95th St,Naperville,IL,60564-8934,US,,,,,145637_req
2016-09-09,2016-09-09 09:30:00,,,Legal Prep Charter Academy - High School Visit,Legal Prep Charter Academy,4319 W Washington Blvd,Chicago,IL,60624-2232,US,,,,,145637_req
2016-09-09,2016-09-09 09:42:00,,,Glenbrook South High School Visit,Glenbrook South High Sch,4000 W Lake Ave,Glenview,IL,60026-1239,US,,,,,145637_req
