univ_id,po_num,order_num,order_title,order_cost,num_runs,num_students,date_start,date_end,hs_grad_class,zip_code_file,zip_code,state_name,cbsa_name,intl_region,segment,race_ethnicity,gender,sat_score_min,sat_score_max,sat_score_old_min,sat_score_old_max,psat_score_min,psat_score_max,psat_score_old_min,psat_score_old_max,gpa_high,gpa_low,rank_high,rank_low
145637,P1659111,483721,1150-1500 INTL Travel Countries Only,395.55,,879,2019-06-27,,2021|2022,,,,,"AS-3 - Egypt|AC-7 - Hong Kong|AS-4 - India|AC-8 - Indonesia|AS-7 - Jordan|AC-16 - Korea, South (ROK)|AC-29 - Macao|AC-10 - Malaysia|AS-14 - Saudi Arabia|AS-17 - United Arab Emirates|AC-20 - Viet Nam",,,,1200,1500,1130,1460,1150,1450,108,140,A+,B-,,
145637,P1659111,483724,1240-1450 OOS ENG and NON ENG,1499.40,,3332,2019-06-27,,2021|2022,,,"Armed Forces Americas (Except Canada)|Connecticut|Armed Forces Canada, Europe, Middle East, Africa|Missouri|California|Armed Forces Pacific","IN - Indianapolis-Carmel-Anderson, IN|OH - Cincinnati, OH-KY-IN|MD - Baltimore-Columbia-Towson, MD|NC - Charlotte-Concord-Gastonia, NC-SC|FL - Orlando-Kissimmee-Sanford, FL|KS - Kansas City, MO-KS|GA - Atlanta-Sandy Springs-Roswell, GA|CO - Denver-Aurora-Lakewood, CO|CO - Boulder, CO|NJ - New York-Newark-Jersey City, NY-NJ-PA|MN - Minneapolis-St. Paul-Bloomington, MN-WI|VA - Washington-Arlington-Alexandria, DC-VA-MD-WV|TN - Nashville-Davidson--Murfreesboro--Franklin, TN|IA - Iowa City, IA|WI - Madison, WI|FL - Miami-Fort Lauderdale-West Palm Beach, FL|IN - Bloomington, IN|FL - Naples-Immokalee-Marco Island, FL|MI - Ann Arbor, MI|NJ - Philadelphia-Camden-Wilmington, PA-NJ-DE-MD|OH - Columbus, OH|MD - Washington-Arlington-Alexandria, DC-VA-MD-WV|OH - Cleveland-Elyria, OH|IN - Lafayette-West Lafayette, IN|MA - Boston-Cambridge-Newton, MA-NH|NY - New York-Newark-Jersey City, NY-NJ-PA|NC - Durham-Chapel Hill, NC|NC - Raleigh, NC|DC - Washington-Arlington-Alexandria, DC-VA-MD-WV|FL - Tampa-St. Petersburg-Clearwater, FL|MD - Philadelphia-Camden-Wilmington, PA-NJ-DE-MD|OH - Dayton, OH|WI - Milwaukee-Waukesha-West Allis, WI|PA - Philadelphia-Camden-Wilmington, PA-NJ-DE-MD|IA - Davenport-Moline-Rock Island, IA-IL|MI - Detroit-Warren-Dearborn, MI|GA - Athens-Clarke County, GA|WA - Seattle-Tacoma-Bellevue, WA|NJ - Trenton, NJ|AZ - Phoenix-Mesa-Scottsdale, AZ",,,,,1240,1450,1170,1400,1220,1450,115,140,A+,B-,,
145637,P1558959,372044,China Search - Feb 2018,985.99,,2293,2018-05-10,,2019|2021|2020,,,,,AC-5 - China,,,,1350,1600,1290,1600,1350,1520,129,149,A+,B-,,
145637,P1659111,403307,IL 1160-1250 August 2018,3885.48,,9036,2018-08-27,,2019|2021|2020,,,Illinois,,,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)|Native Hawaiian or Other Pacific Islander",,1160,1250,1090,1180,1160,1250,109,118,A+,B-,Highest tenth,Second fifth
145637,P1558959,383145,IL 1160-1270 Catch Up - No Rank,184.04,,428,2018-05-04,,2019|2021|2020,,,Illinois,,,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)|Native Hawaiian or Other Pacific Islander",,,,,,1160,1270,109,120,A+,B-,,
145637,P1558959,371076,IL 1160-1270 Feb 2018,4849.11,,11277,2018-02-06,,2019|2021|2020,,,Illinois,,,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)|Native Hawaiian or Other Pacific Islander",,1160,1270,1090,1200,1160,1270,109,120,A+,B-,Highest tenth,Second fifth
145637,P1659111,456700,IL 1160-1270 Feb 2019,3600.00,,8000,2019-02-01,,2021|2020|2022,,,Illinois,,,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)|Native Hawaiian or Other Pacific Islander",,1160,1270,1090,1200,1160,1270,109,120,A+,B-,Highest tenth,Second fifth
145637,P1659111,403329,IL 1260-1440 August 2018,1882.11,,4377,2018-08-27,,2019|2021|2020,,,Illinois,,,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)|Native Hawaiian or Other Pacific Islander",,1260,1440,1190,1390,1260,1440,119,139,A+,B-,Highest tenth,Second fifth
145637,P1887010,541075,IL 1280-1440 2020 one time,820.15,,1745,2019-12-11,,2021|2020|2023|2022,,,Illinois,"IL - Carbondale-Marion, IL|IL - Davenport-Moline-Rock Island, IA-IL|IL - Champaign-Urbana, IL|IL - Bloomington, IL|IL - Danville, IL|IL - Springfield, IL|IL - Rockford, IL|IL - St. Louis, MO-IL|IL - Decatur, IL|IL - Kankakee, IL|IL - Cape Girardeau, MO-IL|IL - Peoria, IL",,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)",,1280,1440,1210,1390,1280,1440,121,139,A+,B-,Highest tenth,Second fifth
145637,P1887010,500538,IL 1280-1440 2020,1614.45,4,3435,2019-09-04,,2021|2020|2023|2022,,,Illinois,,,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)",,1280,1440,1210,1390,1280,1440,121,139,A+,B-,Highest tenth,Second fifth
145637,P1887010,567374,IL 1280-1440 2021,632.15,2,1345,2020-04-03,2020-06-15,2021|2020|2022,,,Illinois,"IL - Carbondale-Marion, IL|IL - Davenport-Moline-Rock Island, IA-IL|IL - Champaign-Urbana, IL|IL - Bloomington, IL|IL - Danville, IL|IL - Springfield, IL|IL - Rockford, IL|IL - St. Louis, MO-IL|IL - Decatur, IL|IL - Kankakee, IL|IL - Cape Girardeau, MO-IL|IL - Peoria, IL",,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)",,1280,1440,1210,1390,1280,1440,121,139,A+,B-,Highest tenth,Second fifth
145637,P1558959,371072,IL 1280-1440 Feb 2018,1818.90,,4230,2018-02-06,,2019|2021|2020,,,Illinois,,,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)|Native Hawaiian or Other Pacific Islander",,1280,1440,1210,1390,1280,1440,121,139,A+,B-,Highest tenth,Second fifth
145637,P1659111,456677,IL 1280-1440 Feb 2019,1366.20,,3036,2019-02-01,,2021|2020|2022,,,Illinois,,,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)|Native Hawaiian or Other Pacific Islander",,1280,1440,1210,1390,1280,1440,121,139,A+,B-,Highest tenth,Second fifth
145637,P1558959,383135,IL 1280-1440 PSAT Catch Up - No Rank,153.08,,356,2018-05-04,,2019|2021|2020,,,Illinois,,,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)|Native Hawaiian or Other Pacific Islander",,,,,,1280,1440,121,139,A+,B-,,
145637,P1558959,327696,IL 1450+ August 2017,241.23,,561,2017-10-12,,2018|2019|2020,,,Illinois,,,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)|Native Hawaiian or Other Pacific Islander",,1450,1600,1400,1600,1450,1520,140,149,A+,B-,Highest tenth,Second fifth
145637,P1659111,403217,IL 1450+ August 2018,146.20,,340,2018-08-27,,2019|2021|2020,,,Illinois,,,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)|Native Hawaiian or Other Pacific Islander",,1450,1600,1400,1600,1450,1520,140,149,A+,B-,Highest tenth,Second fifth
145637,P1558959,371132,IL 1450+ Feb 2018,217.58,,506,2018-02-06,,2019|2021|2020,,,Illinois,,,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)|Native Hawaiian or Other Pacific Islander",,1450,1600,1400,1600,1450,1520,140,149,A+,B-,Highest tenth,Second fifth
145637,P1659111,456725,IL 1450+ Feb 2019,148.05,,329,2019-02-01,,2021|2020|2022,,,Illinois,,,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)|Native Hawaiian or Other Pacific Islander",,1450,1600,1400,1600,1450,1520,140,149,A+,B-,Highest tenth,Second fifth
145637,P1558959,374839,IL 1450+ PSAT Catch Up - NO RANK,32.68,,76,2018-05-04,,2019|2021|2020,,,Illinois,,,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)|Native Hawaiian or Other Pacific Islander",,,,,,1450,1520,140,149,A+,B-,,
145637,P1558959,374921,IL Khan Messaging PSAT 1100-1150 Edit name,,,,,,2019|2021|2020,,,Illinois,,,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)|Native Hawaiian or Other Pacific Islander",,,,,,1100,1150,102,108,A+,B-,,
145637,P1558959,327699,IL Lower Range August 2017,4610.89,,10723,2017-10-12,,2018|2019|2020,,,Illinois,,,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)|Native Hawaiian or Other Pacific Islander",,1160,1270,1090,1200,1160,1270,109,120,A+,B-,Highest tenth,Second fifth
145637,P1558959,327649,IL Middle 50% August 2017,1761.71,,4097,2017-10-12,,2018|2019|2020,,,Illinois,,,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)|Native Hawaiian or Other Pacific Islander",,1280,1440,1210,1390,1280,1440,121,139,A+,B-,Highest tenth,Second fifth
145637,P1887010,567426,IL NON URM 1160-1270 2021,2700.15,2,5745,2020-04-03,2020-06-15,2021|2023|2022,,,Illinois,"IL - Carbondale-Marion, IL|IL - Davenport-Moline-Rock Island, IA-IL|IL - Champaign-Urbana, IL|IL - Bloomington, IL|IL - Danville, IL|IL - Springfield, IL|IL - Rockford, IL|IL - St. Louis, MO-IL|IL - Decatur, IL|IL - Kankakee, IL|IL - Cape Girardeau, MO-IL|IL - Peoria, IL",,,"Asian (including Indian subcontinent and Philippines origin)|Other|I do not wish to respond to race|No, not of Hispanic, Latino, or Spanish origin|White (including Middle Eastern origin)|Native Hawaiian or Other Pacific Islander",,1160,1270,1090,1200,1160,1270,109,120,A+,B-,Highest tenth,Second fifth
