Zip,Description,State,Market
627,Springfield (City),IL,Primary
626,Springfield (surrounding areas West),IL,Primary
625,Springfield (surrounding areas East),IL,Primary
620,East Saint Louis (surrounding areas),IL,Primary
622,East Saint Louis,IL,Primary
606,Chicago (City) - Chicagoland,IL,Chicagoland
600,North Shore (Lake Co.) - Chicagoland,IL,Chicagoland
604,Joliet - Chicagoland,IL,Chicagoland
601,Schaumburg - Chicagoland,IL,Chicagoland
605,Aurora & Naperville - Chicagoland,IL,Chicagoland
602,North Shore (Evanston) - Chicagoland,IL,Chicagoland
603,Oak Park - Chicagoland,IL,Chicagoland
617,Bloomington,IL,Rest of IL
618,Champaign (North),IL,Rest of IL
615,Peoria (surrounding areas),IL,Rest of IL
610,Rockford (surrounding areas),IL,Rest of IL
614,Galesburg,IL,Rest of IL
623,Quincy,IL,Rest of IL
609,Kankakee - Chicagoland,IL,Rest of IL
624,Effingham,IL,Rest of IL
628,Centralia,IL,Rest of IL
629,Carbondale (southernmost IL),IL,Rest of IL
612,Quad Cities (Rock Island),IL,Rest of IL
616,Peoria (City),IL,Rest of IL
608,Cicero (South of Chicago) - Chicagoland,IL,Rest of IL
611,Rockford (City),IL,Rest of IL
607,Elmwood Park (North of Chicago) - Chicagoland,IL,Rest of IL
619,Champaign (South),IL,Rest of IL
613,La Salle,IL,Rest of IL
420,Paducah,KY,Secondary
424,Henderson,KY,Secondary
463,Gary (surrounding areas),IN,Secondary
464,Gary (City),IN,Secondary
475,Jasper (area North of Evansville),IN,Secondary
476,Evansville (surrounding areas),IN,Secondary
477,Evansville (City),IN,Secondary
478,Terre Haute,IN,Secondary
479,Lafayette,IN,Secondary
526,Burlington,IA,Secondary
527,Quad Cities (Bettendorf),IA,Secondary
528,Quad Cities (Davenport),IA,Secondary
530,Milwaukee (surrounding areas North),WI,Secondary
531,Milwaukee (surrounding areas South),WI,Secondary
532,Milwaukee (City),WI,Secondary
630,Saint Louis (surrounding areas),MO,Secondary
631,Saint Louis (City),MO,Secondary
633,Saint Louis (surrounding areas),MO,Secondary
634,Hannibal (Northeast MO),MO,Secondary
636,Farmington (Lower East Central-Cape),MO,Secondary
637,Cape Girardeau (Lower East Central-Cape),MO,Secondary
651,Jefferson City (City),MO,Secondary
