univ_id,po_num,order_num,order_title,created_by,date_updated,order_cost,num_runs,num_students,date_start,date_end,hs_grad_class,zip_code_file,zip_code,state_name,cbsa_name,intl_region,segment,race_ethnicity,gender,sat_score_min,sat_score_max,sat_score_old_min,sat_score_old_max,psat_score_min,psat_score_max,psat_score_old_min,psat_score_old_max,gpa_high,gpa_low,rank_high,rank_low
148654,,473318,SS09 Rest of IL Srs (20) 1300-1520 E EAM,Tuonebrandy Tuonepalmer,2019-05-08,72.00,1,160,2019-05-08,2019-05-08,2020,,623|610|612|611|614|609|613|608|616,,,,,,,1300,1520,1230,1490,,,,,A+,B-,,
148654,,579321,P18 Chicagoland Soph (22) 1150-1290 E MAY,Tuonebrandy Tuonepalmer,2020-05-07,650.95,1,1385,2020-05-07,2020-05-07,2022,,601|600|606|605|604|603|602,,,,,,,,,,,1150,1290,108,122,A+,B-,,
148654,,511879,SS08 Chicagoland Srs (20) 1150-1290 D1,Tuonebrandy Tuonepalmer,2019-10-08,2161.06,1,4598,2019-10-08,2019-10-08,2020,Chicagoland.txt,,,,,,,,1150,1290,1080,1220,,,,,A+,B-,,
148654,,514158,P12 Chicagoland Jrs (21) 1300-1520 SEPT,Tuonebrandy Tuonepalmer,2019-10-17,1160.90,1,2470,2019-10-17,2019-10-17,2021,,601|600|606|605|604|603|602,,,,,,,,,,,1300,1520,123,149,A+,B-,,
148654,,355933,RNL 19 ESS M1 GA P1,Elizabeth Villarreal,2017-11-27,224.46,1,522,2017-11-27,2017-11-27,2019,UIS M1 Zips - 453.txt,,,,,,,,980,1270,900,1200,900,1190,82,112,A+,C,,
148654,,536432,P22 Chicagoland Soph (22) 800-850 JAN,Tuonebrandy Tuonepalmer,2020-01-08,532.51,1,1133,2020-01-08,2020-01-08,2022,,601|600|606|605|604|603|602,,,,,,,,,,,800,850,71,76,A+,B-,,
148654,,384680,RNL 19 ESS M4 HA P3,Elizabeth Villarreal,2018-04-21,1301.61,1,3027,2018-04-21,2018-04-21,2019,UIS M4 Zips - 205.txt,,,,,,,,1060,1410,980,1350,980,1330,90,127,A+,A-,,
148654,,383407,RNL 20 ESS M3 Apps HA P3,Elizabeth Villarreal,2018-04-21,2002.51,1,4657,2018-04-21,2018-04-21,2020,UIS M3 Zips Apps - 120.txt,,,,,,,,1060,1410,980,1350,980,1330,90,127,A+,A-,,
148654,,571405,SS20 Secondary Srs (21) 1050-1140 E EAM,Tuonebrandy Tuonepalmer,2020-05-11,262.26,1,558,2020-05-11,2020-05-11,2021,Secondary.txt,,,,,,,,1050,1140,970,1070,,,,,A+,B,,
148654,,473319,SS11 Rest of IL Srs (20) 1050-1140 E EAM,Tuonebrandy Tuonepalmer,2019-05-08,48.60,1,108,2019-05-08,2019-05-08,2020,,623|610|612|611|614|609|613|608|616,,,,,,,1050,1140,970,1070,,,,,A+,B-,,
148654,,473320,SS13 Secondary Srs (20) 1300-1400 E EAM,Tuonebrandy Tuonepalmer,2019-05-08,247.05,1,549,2019-05-08,2019-05-08,2020,,637|636|651|633|634|631|476|475|478,,,,,,,1300,1400,1230,1340,,,,,A+,B,,
