cbsa_name,median_household_income,medincome_total,medincome_under25,medincome_2544,medincome_4564,medincome_65plus,cbsa_code
"Big Stone Gap, VA Micro Area",38175,38175,21702,48580,40081,33083,13720
"Billings, MT Metro Area",61278,61278,35177,68504,71283,42782,13740
"Binghamton, NY Metro Area",54295,54295,21648,59780,68715,41763,13780
"Birmingham-Hoover, AL Metro Area",57447,57447,28611,62957,67930,43843,13820
"Bismarck, ND Metro Area",71398,71398,43726,85132,87191,45260,13900
"Blackfoot, ID Micro Area",55472,55472,35875,62103,63648,38530,13940
"Blacksburg-Christiansburg, VA Metro Area",55065,55065,11917,63049,66682,48707,13980
"Bloomington, IL Metro Area",67675,67675,17429,73157,89721,52912,14010
"Bloomington, IN Metro Area",49798,49798,16461,54702,65235,49233,14020
"Bloomsburg-Berwick, PA Metro Area",51745,51745,16647,64294,65484,34857,14100
"Bluefield, WV-VA Micro Area",41715,41715,22941,50110,44512,34150,14140
"Blytheville, AR Micro Area",39962,39962,31745,42234,45086,31623,14180
"Bogalusa, LA Micro Area",37570,37570,21929,42880,43264,29614,14220
"Boise City, ID Metro Area",60568,60568,32053,64705,72001,45106,14260
"Bonham, TX Micro Area",54648,54648,36511,68962,67769,39006,14300
"Boone, NC Micro Area",47526,47526,10487,55038,65652,52464,14380
"Borger, TX Micro Area",52524,52524,43357,62434,59540,39832,14420
"Boston-Cambridge-Newton, MA-NH Metro Area",90333,90333,46513,103137,109566,53947,14460
"Boulder, CO Metro Area",83019,83019,25960,88742,109090,62852,14500
"Bowling Green, KY Metro Area",49700,49700,23340,54661,58554,39538,14540
"Bozeman, MT Micro Area",66397,66397,29094,72420,83118,57090,14580
"Bradford, PA Micro Area",48647,48647,39605,54647,59116,34792,14620
"Brainerd, MN Micro Area",55154,55154,32850,64047,64854,44983,14660
"Branson, MO Micro Area",46031,46031,34599,52679,48827,41153,14700
"Breckenridge, CO Micro Area",79277,79277,-666666666,78659,86264,72170,14720
"Bremerton-Silverdale-Port Orchard, WA Metro Area",75411,75411,52074,78084,93277,58875,14740
"Brenham, TX Micro Area",54971,54971,-666666666,65167,64604,41205,14780
"Brevard, NC Micro Area",50212,50212,30729,42315,60694,52610,14820
"Bridgeport-Stamford-Norwalk, CT Metro Area",95645,95645,42532,97288,120233,63989,14860
"Brookhaven, MS Micro Area",42606,42606,31884,60925,52626,28857,15020
"Brookings, OR Micro Area",48440,48440,-666666666,60509,57165,36190,15060
"Brookings, SD Micro Area",58136,58136,33866,66762,76061,54589,15100
"Brownsville, TN Micro Area",37905,37905,18429,35111,48609,30662,15140
"Brownsville-Harlingen, TX Metro Area",38758,38758,27813,41278,47048,28299,15180
"Brownwood, TX Micro Area",48365,48365,24033,61694,57500,35550,15220
"Brunswick, GA Metro Area",50671,50671,28233,50602,60467,43283,15260
"Bucyrus-Galion, OH Micro Area",44971,44971,31375,50029,55031,36589,15340
"Buffalo-Cheektowaga, NY Metro Area",57621,57621,27317,63673,72183,41696,15380
"Burley, ID Micro Area",53116,53116,38625,55297,59743,41578,15420
"Burlington, IA-IL Micro Area",51667,51667,32252,54304,61996,42273,15460
"Burlington, NC Metro Area",49688,49688,24939,52394,61311,39305,15500
"Burlington-South Burlington, VT Metro Area",71413,71413,31726,80028,89067,50859,15540
"Butte-Silver Bow, MT Micro Area",45718,45718,22244,57168,54621,36213,15580
"Cadillac, MI Micro Area",47193,47193,31359,52941,52947,39307,15620
"Calhoun, GA Micro Area",45865,45865,38225,47821,55947,30925,15660
"California-Lexington Park, MD Metro Area",89845,89845,66159,93121,111632,55631,15680
"Cambridge, MD Micro Area",52917,52917,47981,52573,66401,42646,15700
"Cambridge, OH Micro Area",45917,45917,24682,49341,55879,37937,15740
"Camden, AR Micro Area",37220,37220,20417,39638,41167,34111,15780
"Campbellsville, KY Micro Area",41514,41514,24814,53592,50912,30524,15820
"Cañon City, CO Micro Area",49409,49409,36458,53284,59491,40592,15860
"Canton-Massillon, OH Metro Area",53978,53978,35752,58912,66640,41299,15940
"Cape Coral-Fort Myers, FL Metro Area",57832,57832,40705,57627,66621,52754,15980
"Cheyenne, WY Metro Area",66910,66910,44940,74350,77218,49604,16940
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",71770,71770,36651,77960,87415,47747,16980
"Cape Girardeau, MO-IL Metro Area",51429,51429,23034,63726,60619,37696,16020
"Carbondale-Marion, IL Metro Area",45052,45052,16038,48808,59011,38059,16060
"Carlsbad-Artesia, NM Micro Area",65328,65328,38464,73610,76738,36337,16100
"Carroll, IA Micro Area",59212,59212,24932,80255,76926,35173,16140
"Carson City, NV Metro Area",55718,55718,45734,55730,69442,45151,16180
"Casper, WY Metro Area",62772,62772,35368,69596,76019,43427,16220
"Cedar City, UT Micro Area",51807,51807,30465,56087,60568,46840,16260
"Cedar Rapids, IA Metro Area",64687,64687,36098,70177,81904,45189,16300
