zip_name,median_household_income,medincome_total,medincome_under25,medincome_2544,medincome_4564,medincome_65plus,state_fips_code,zip_code
ZCTA5 00601,14361,14361,13173,15704,15944,12275,72,00601
ZCTA5 00602,16807,16807,-666666666,14416,19008,16035,72,00602
ZCTA5 00603,16049,16049,2499,14914,19492,15484,72,00603
ZCTA5 00606,12119,12119,-666666666,5530,11701,16974,72,00606
ZCTA5 00610,19898,19898,7330,24592,21215,16306,72,00610
ZCTA5 00612,18741,18741,9345,18938,22016,17379,72,00612
ZCTA5 00616,17007,17007,-666666666,17199,22955,14987,72,00616
ZCTA5 00617,16984,16984,-666666666,18109,16714,16613,72,00617
ZCTA5 00622,14615,14615,-666666666,15889,13349,14832,72,00622
ZCTA5 00623,17130,17130,9353,23197,19170,14107,72,00623
ZCTA5 00624,16701,16701,-666666666,16833,20083,14909,72,00624
ZCTA5 00627,17000,17000,14224,18060,19291,14127,72,00627
ZCTA5 00631,10244,10244,-666666666,7833,13750,10572,72,00631
ZCTA5 00637,17405,17405,2499,24673,17609,14837,72,00637
ZCTA5 00638,16843,16843,-666666666,18057,19704,14471,72,00638
ZCTA5 00641,15792,15792,15625,16172,17280,14991,72,00641
ZCTA5 00646,30573,30573,33295,35369,38853,18181,72,00646
ZCTA5 00647,14223,14223,-666666666,5750,13677,17837,72,00647
ZCTA5 00650,19764,19764,8750,20422,20709,19289,72,00650
ZCTA5 00652,21987,21987,-666666666,23561,20761,25231,72,00652
ZCTA5 00653,12072,12072,18548,13460,11833,11452,72,00653
ZCTA5 00656,17355,17355,9583,18782,16539,17442,72,00656
ZCTA5 00659,17715,17715,9783,18607,22641,14919,72,00659
ZCTA5 00660,19030,19030,-666666666,20222,24286,15573,72,00660
ZCTA5 00662,16834,16834,15946,19595,18541,13634,72,00662
ZCTA5 00664,14595,14595,13843,19907,12183,13620,72,00664
ZCTA5 00667,14013,14013,2499,18892,13486,13938,72,00667
ZCTA5 00669,16922,16922,21808,24880,16434,12287,72,00669
ZCTA5 00670,14245,14245,-666666666,21364,12208,14162,72,00670
ZCTA5 00674,18299,18299,7375,23155,21191,15335,72,00674
ZCTA5 00676,14992,14992,-666666666,16744,16272,13125,72,00676
ZCTA5 00677,19943,19943,7500,26307,22500,18149,72,00677
ZCTA5 00678,17144,17144,11125,16102,19444,15480,72,00678
ZCTA5 00680,14217,14217,2499,10172,19269,16131,72,00680
