ceeb,ncessch
576520,580000300050
575010,580000300040
576160,580000400052
576146,580000700192
564080,580000800150
724310,580000300035
576397,580000700121
576400,580000700118
577060,580000800141
020024,020048000180
020073,020000700004
020026,020000300216
020328,020086200377
020017,020062500292
020181,020061000283
020003,020018000073
020001,020018000057
020141,020039000153
020091,020018000110
020002,020018000075
020333,020018000178
020358,020018000530
020316,020018000401
020082,020018000432
020312,020018000101
020004,020018000531
020297,020018000109
020365,020018000454
020007,020018000115
020000,020018000120
020009,020077000354
020013,020073000342
020094,020076000663
020237,020052000240
020226,020077500358
020074,020001000005
020205,020000100206
020238,020061000284
020011,020061000286
020005,020000100208
020319,020000100620
020178,020051000586
020252,020002000423
020019,020062500293
020093,020077000356
020340,020077500493
020206,020000100209
020229,020000500582
020054,020048500193
020059,020048500194
020062,020048500195
020300,020048000181
020301,020076000347
020276,020077500361
020282,020070000314
020076,020000700006
020016,020007000036
020015,020006000029
020020,020009000038
020302,020076000348
020022,020062500294
020343,020010000236
020362,020010000599
020023,020010000630
020363,020010000434
020025,020012000634
020147,020071000333
020146,020071000465
020168,020002000499
020230,020005000024
020243,020005000025
020031,020018000069
020207,020000100392
020278,020048500196
020033,020060000260
020148,020002000421
020027,020000300217
020104,020086200385
020035,020060000270
020092,020086200378
020287,020060000587
020034,020060000395
020161,020060000650
020193,020086200453
020028,020060000281
020077,020000700007
020036,020077500362
020323,020039000612
020044,020013000635
020351,020013000252
020253,020002000422
020208,020000100476
020163,020052000241
020042,020073000344
020040,020027000639
020335,020073000490
020361,020077000447
020041,020077000357
020239,020052000242
020364,020039000081
020045,020039000158
020048,020030000641
020123,020000300219
020053,020033000642
020241,020048500197
020096,020048500199
020056,020086300497
020288,020073000606
020055,020021000133
020058,020036000643
020166,020061000287
020227,020076000665
020167,020086200381
020310,020000100619
020209,020000100391
020060,020039000537
020065,020015000047
020244,020015000048
020069,020062500295
020228,020000700177
020066,020048500198
020113,020048500202
020210,020000100210
020071,020062500300
020070,020045000646
020304,020048000402
020303,020048000405
020075,020048000185
020211,020000100211
020189,020000300411
020079,020062500569
020158,020002000013
020212,020000100438
020213,020000100212
020081,020048000187
020084,020048500334
020087,020071000335
020232,020000300218
020080,020052000244
020214,020000100408
020277,020005000026
020083,020052500648
020272,020086200384
020088,020003000020
020240,020039000157
020215,020000100409
020216,020000100439
020116,020000700008
020095,020054000251
020089,020071000336
020218,020000100440
020219,020000100474
020274,020039000645
020184,020039000164
020171,020052000245
020098,020039000165
020099,020062500301
020100,020057000568
020101,020048500200
020029,020060000273
020122,020005000027
020260,020061000288
020220,020000100214
020106,020048000189
020107,020048000192
020286,020051000719
020270,020051000225
020105,020051000227
020357,020051000425
020109,020048500201
020242,020063000304
020110,020066000570
020279,020048500203
020233,020000300410
020221,020000100215
020246,020061000289
020344,020061000290
020280,020048500204
020111,020048000191
020222,020000100441
020305,020076000351
020273,020086200386
020234,020000300222
020265,020000300221
020254,020067000308
020117,020000700461
020331,020002000014
020162,020000300412
020118,020062500394
020120,020039000175
020125,020039000540
020235,020052000246
020129,020002000466
020134,020000300413
020126,020002000015
020127,020062500303
020085,020000600558
020321,020024000035
020130,020024000143
020306,020076000352
020285,020039000702
020131,020039000542
020247,020002000467
020248,020002000468
020348,020077500365
020307,020076000353
020136,020051000232
020137,020071500488
020295,020080000371
020151,020002000016
020296,020073000345
020290,020070000486
020068,020070000326
020143,020071000338
020138,020005000028
020217,020000100213
020223,020000400623
020224,020000100406
020139,020000100389
020140,020072000661
020150,020078000370
020164,020077500366
020152,020061000291
020309,020002000018
020283,020051000720
020155,020051000237
020156,020002000019
020225,020080000372
020160,020081000576
020170,020084000667
010000,010174000600
010375,010192001752
010010,010358001356
012485,010303001183
010025,010000500871
010035,010003000003
010055,010054000232
010060,010273001098
010070,010318001226
010080,010006000007
010090,010093000361
010100,010093000363
010110,010009000011
010123,010054000243
010125,010054001489
012090,010054000250
010130,010010000028
010132,010210000797
010135,010105000388
010140,010358001360
010150,010177000611
010155,010075000311
010165,010306201362
010175,010012001472
010180,010210000799
010185,010210000800
010186,010210000959
010200,010135000484
010210,010018000033
010220,010021000036
010235,010024001408
010245,010027001810
010248,010027000664
010265,010231000869
010275,010240000979
010300,010147000521
010311,010033000087
010320,010192000732
010325,010024000045
010326,010001802104
010350,010039000122
010348,010192000702
012385,010192000704
010405,010039001468
010366,010039000141
010435,010039000164
010408,010303001189
010395,010039000165
010355,010039000176
010415,010192000744
010425,010039000192
010430,010039000194
010440,010039000198
010450,010042000209
010455,010042000213
010465,010001200874
010485,010096000365
010490,010102000374
010505,010045000216
010525,010231000862
010530,010339001274
010540,010279001112
010550,010069000291
010554,010069000755
010555,010303001170
010570,010351001780
010580,010321001231
010585,010345000135
010595,010273001100
010610,010063000274
010620,010063000278
010630,010036000092
010645,010348001335
010648,010303001171
010655,010084000333
010660,010318001213
010670,010237000906
010675,010066001491
010681,010066000748
010690,010030000074
010994,010000201402
010695,010042000206
010725,010072000300
010730,010114000411
010745,010177000614
010755,010303001190
010750,010303001174
010760,010345001308
010767,010336002101
010770,010177000612
010775,010204000776
010785,010114000412
010795,010099000370
010800,010102000377
010802,010102000379
010810,010102000387
010820,010321001229
010828,010108000394
010830,010248001042
010835,010204000788
010844,010027001759
010850,010129000465
010856,010117000426
010860,010117000429
010862,010248001048
010875,010120000148
010880,010225000854
010890,010225000856
010900,010345001311
010910,010123000445
010914,010123001501
010915,010177000615
010920,010358001357
010925,010000600878
010510,010135000492
010940,010129000463
010950,010126000461
010955,010210001549
010980,010132000476
010995,010141000511
011015,010168000576
011030,010087001766
011040,010240000975
011055,010144000516
011060,010027000100
011070,010248001044
011075,010147001787
011085,010147000525
011100,010135000487
011105,010093000360
011120,010201000765
011125,010153000531
011135,010201000772
011138,010201000775
011140,010027001784
011150,010156000538
011170,010240000976
011175,010348001336
011180,010114000415
010020,010162000554
011195,010162000558
011197,010138000496
011201,010162000562
011205,010138000506
011208,010192000706
011210,010063000279
011220,010164000567
011230,010051000225
011235,010114000416
012480,010069000297
011240,010138000498
011260,010345001328
011255,010273001104
011270,010279001114
011285,010000600883
011295,010171000585
011290,010171000586
011299,010051000226
011315,010072000298
011330,010231000863
011334,010027000641
011340,010169000582
011343,010000600987
011345,010222000556
011350,010231000866
011355,010172000594
011354,010172001370
011365,010231000868
011375,010102000380
011380,010166000570
011390,010173000599
012648,010222000848
011400,010042000208
011410,010216000817
011415,010222000836
011425,010174000604
011430,010078000318
011443,010183000662
011445,010096000367
011200,010138001662
011455,010102000381
011464,010176000608
010328,010000700251
010381,010000701456
011463,010192000717
011485,010180000631
011469,010180000633
011467,010180000636
011494,010180001374
011465,010180000619
011466,010180000629
011505,010114000419
011459,010192000917
010251,010237000989
011512,010081000327
011520,010072001493
011530,010186000673
011534,010054001488
011535,010345001310
011540,010189000678
011550,010066000262
011568,010201000764
011570,010081000323
011585,010060000263
011590,010198000759
011600,010001102096
011615,010084000334
011625,010348001337
010960,010210000810
010560,010216000815
011630,010201000770
011635,010318001214
011645,010213000813
011655,010075000313
011665,010309001191
011671,010207000792
012295,010042000210
011681,010240000981
011690,010096000368
011695,010358001359
011697,010000800831
011700,010066000261
011705,010066000265
011710,010024000046
011725,010267001735
011730,010192000725
011735,010348001338
011740,010051000229
011748,010235000891
011750,010105000389
011758,010129000468
011770,010195001720
011778,010348001339
011793,010001001407
012525,010237000899
011798,010237000898
011815,010237000929
011831,010237000962
011838,010237000969
011820,000001925841
011830,010237000942
011834,010237001626
011847,010237001000
011839,010237000912
011850,010240000973
011858,010303001177
011874,010243000504
011877,010243001457
011885,010243001015
011892,010243001024
011910,010243001036
011896,010243001417
011900,010243001035
012112,010306201591
011925,010192000728
011930,010204000783
011940,010171000588
011951,010000201705
010380,010249001056
011945,010204000787
011960,010318001220
011927,010252001062
011973,010081001494
011975,010222000843
011980,010222001683
010050,010321000038
011970,010171000592
011990,010177000617
012365,010339001287
012005,010339001291
012013,010219000824
012020,010321001234
012025,010345001320
012030,010306201367
012035,010054000240
012038,010042000203
012040,010255001064
012050,010207000790
012055,010258001070
012070,010261001073
012075,010111000402
012085,010263501075
012093,010264001080
012110,010345001322
012111,010303001179
012115,010265001573
012135,010270001088
012150,010159000544
012160,010276001108
010689,010192000469
012183,010192000734
012185,010183001532
012200,010111000397
012207,010192000737
012220,010024000048
012235,010237000964
012233,010237000900
012240,010183000663
012250,010306201376
012252,010114000422
012265,010078000321
012270,010159000545
012275,010093000362
012290,010273001102
012310,010285001126
012325,010027000024
012330,010090001749
012340,010201000767
012343,010159000541
012352,010291001142
012375,010166000571
011610,010063000282
010470,010138000505
012383,010237000953
012395,010294001147
012396,010183000668
012400,010288001802
012420,010183000667
012430,010297001160
012438,010111000406
012450,010237000934
012455,010300001164
012487,010105000390
012495,010166001519
012500,010207000795
012510,010248001696
012520,010063000283
012530,010306201377
012535,010183001751
012540,010195000756
012550,010225000857
012560,010318001210
012567,010318001216
012570,010312001200
012575,010114000424
012579,010000901404
012581,010000901403
012578,010000901406
012583,010318001215
012585,010315001207
012600,010324001238
012605,010210000808
012610,010327001240
012615,010237001688
012625,010225000852
012635,010330001248
012643,010066000270
012650,010204000780
012655,010204000782
012659,010204001546
012660,010248001052
012670,010333001602
012675,010192001682
012690,010336001608
012685,010339000052
011460,010339001282
012686,010336002102
012689,010336001399
012693,010084000335
012695,010342001297
012710,010219001811
012721,010048000688
012730,010048000218
012740,010267001577
012748,010240000980
010445,010207000791
011045,010060000271
012752,010114000425
012754,010066000288
012760,010195001511
012768,010343001304
012770,010159000548
012775,010303001187
012782,010102000385
012785,010282001123
012790,010138000507
012795,010192000698
012805,010201000774
012807,010054000247
012810,010282001119
012819,010036000669
012820,010036000099
012835,010129000471
012840,010354001355
012845,010282001125
012850,010183000671
012855,010309001593
682060,580001000193
562030,580001000173
561700,580000900167
561620,580000900168
680359,580000900159
561660,580001100179
561940,580000900160
040000,050225000004
040010,050228000007
040012,050233000011
040025,050237000014
040030,050669000341
040035,050243000018
040050,050246000024
040055,050255000027
040060,050258000028
040075,050261000033
040090,050267000034
040095,050270000038
040105,050273000040
040115,050001900043
040120,051254001012
040125,050279000047
040130,050282000051
040135,050003200053
040150,051257001014
040145,050288000057
041640,050969000709
040170,050296000063
040165,050732000444
040175,050306000073
040180,050309000078
040185,050315000080
040190,050558000268
040210,050324000086
040215,050327000088
040225,050330000090
040240,050332000091
040260,050345000105
040265,050348000107
040268,050351000109
040280,050474000198
040285,050007900386
040290,050363000112
042540,050002101300
040300,050364000116
040310,050369000118
041990,050300000070
040320,050375000123
040340,050384000132
040350,050606000312
040355,050729000443
040380,050396000140
040390,050399000142
040395,051131000848
040405,050405000148
040410,050408000150
040415,051041000760
040420,050420000158
040425,050462000189
040435,050774000487
040455,050435000164
040460,050438000166
040465,050441000009
040470,050441000172
040475,051402001267
040485,050456000181
040492,050459000182
040490,050459000184
040200,050321000084
040505,050000900191
040510,050468000194
040515,050471000196
040525,051344001105
040535,050477000200
040540,050480000202
040555,050483000208
040565,050489000212
040575,050493000214
040605,050004900235
040630,050531000247
040580,050498000221
040585,050501000223
040590,050504000225
040595,050507000227
040615,050517000239
040620,050519000240
040635,050000100216
040640,050534000249
040282,050357000111
040645,051098000828
040650,050543000257
040660,050550000262
040675,050555000266
040690,050568000274
040695,051122000841
040697,050567000272
040685,050574000287
040705,050576000290
040710,050579000292
040720,050582000294
040730,050585000296
040745,050000700302
040750,050597000306
040755,050600000308
040305,050941000686
040760,050609000315
040772,050612000320
040770,050612000319
040775,050615000331
040790,050621000335
040795,050624000338
040805,050627000344
040835,050633000367
040837,050633000373
040840,050636000380
040845,050639000382
042190,051203500965
040875,050654000390
040885,050657000392
040230,050002901277
040910,050675000408
040920,050678000410
040930,050684000414
040940,050687000416
040935,050690000418
040945,050693000420
040955,050699000424
041065,051404001147
040969,050711000430
040980,050714000434
040985,050717000435
040995,050004201281
041000,050723000441
041005,050777000491
041020,050735000447
041025,050738000452
041030,050741000457
041040,050747000461
041045,051437001170
041050,050004101315
041055,050753000465
041060,050756000467
041070,050762000472
041085,050765001361
041100,050771000485
041115,050780000493
041125,050784000498
041130,051263001018
041140,050786000502
041143,050486000210
041144,050642000384
041145,050789000509
041160,050867000581
041175,050799000518
041180,050801000520
041200,050810001403
041210,050813000538
041215,050816000541
041220,051248001007
041225,051185000919
041227,051185000932
041230,050824000545
041235,050792000516
041270,050828000551
041815,051044000762
041272,051338001095
041274,050402000146
041275,050417000156
041285,050834000558
041305,050001000562
041310,050846000564
041315,050849000566
041335,050001201288
041345,050864000578
041350,050870000585
041365,050873000587
041375,050342000103
041385,050004801348
041390,050948000596
042326,050006500727
041405,050894000601
041432,050900000462
041415,050003501420
041416,050003601422
041423,050900000616
041429,050900001389
041485,050900001390
041422,050900000607
041443,050900000627
041430,051185000923
042390,051185000945
041455,050903000640
041470,050906000642
041480,050912000648
041490,050915000650
041500,050004400656
041505,051371001124
041510,050663000398
041520,050919000651
041527,050924001372
041530,050927000666
041535,050004600668
041540,050933001036
041550,050936000675
041560,050939000682
041570,050942000687
041575,050001600691
041580,050948000693
041585,050951000694
041595,050954000698
041600,050957000700
041610,050960000702
041620,050963000705
041635,050966000706
041645,050972000711
041650,050222000002
041655,050975000713
041670,050978000717
041680,050371001271
041685,050547000259
041695,050984000721
041710,051252001242
041755,051251000731
041765,050999000733
041770,051002000735
041775,051005000737
041780,051008000739
041740,050004300743
041745,051017000746
041750,051020000749
041735,051026000751
041785,051029000753
041800,051032000755
041810,051038000757
041820,051050000768
041830,050002300772
041840,051056000774
041845,050377000127
041850,051062000776
041867,051068000794
041860,051068000795
041861,051185000934
041875,051077000811
041880,051080000813
041900,051089000819
041905,051092000821
041910,051095000825
041930,051101000830
041790,051152000878
041935,050005100833
041940,051107000835
041950,051308001066
041960,050001701295
041970,051113000837
041985,051125000842
041995,050303000072
041155,050861000575
042000,051134000850
042005,051137000852
042012,050541000253
042030,050002600867
042040,051393001140
042050,051146000874
042060,050002001298
042070,051161000884
042090,051170000891
042100,051173000893
042105,051176000895
042120,051182000899
042135,051188000947
042140,051164000887
042145,050437001274
042150,051194000951
042160,051440001172
042165,051197000958
042170,050963000230
042180,051200000962
042183,050003001405
042195,051206000971
042205,051272001033
042210,051275001035
042215,051209000975
042220,051212000977
042225,051215000979
042240,051218000981
041300,050840000242
042250,051221000985
042265,050001500997
041872,051185000941
042270,051242001001
042280,051245001003
042285,051251001009
042305,051260001016
042315,051266001025
042337,050002801042
042345,051287001045
042350,050007101010
042360,051293001049
042365,051296001055
042380,051299001059
042395,051302001061
042400,051305001063
042403,051311001068
040870,050411000152
042440,051326501087
042455,050004701079
042465,051323001083
042475,051326001085
042490,051065000778
042495,051335001093
042500,051341001103
042530,051353001110
042535,051356001112
042560,051365001119
042565,051368001122
042575,051374001126
042585,050000601130
042600,051395001142
042610,051401001144
041075,050768000476
042615,050804000530
042605,051407001149
042045,051414001156
042640,051416001158
042645,050759000470
042650,051419001160
042685,050004501204
042690,051386001135
042720,051443001176
042725,051449001178
520030,600003000007
520070,600003000013
520090,600003000016
520126,600003000032
520050,600003000028
520037,600003000031
030000,040052003063
030003,040079000043
030002,040035701732
030001,040023501861
030005,040091000048
030007,040045000001
030006,040035201898
030327,040852001478
030010,040100000053
030015,040021200061
030020,040118000063
030025,040133000073
030030,040141000075
030066,040028002186
030032,040008201457
030035,040160000087
030068,040026602089
030040,040174000113
030043,040000101204
030037,040187002250
030052,040005100750
030045,040187000123
030036,040014901897
030062,040187001677
030048,040194000137
030049,590000400017
030053,040000301458
030058,590000800058
030055,040211000150
030057,040002101277
030060,040232000158
030064,040232001966
030050,040507000430
030164,040012001646
030075,040253000187
030080,040260000196
030098,040014201807
030258,040269000198
030095,040034502257
030100,040753000638
030103,040286000212
030104,040001900498
030105,040286000215
030111,040009701178
030107,040286001464
030110,040292000228
030117,040943000970
030120,040320000249
030124,040304000038
030125,040308000242
030128,040061203130
030135,040331000256
030139,040038401899
030140,040340000258
