district_name,pop_total,pop_total_25plus,median_household_income,median_inc_2544,median_inc_4564,pop_edu_attain_doct,pop_edu_attain_prof,pop_edu_attain_master,pop_edu_attain_bach,pop_edu_attain_assoc,pop_edu_somecollege_1plusyrs,pop_edu_somecollege_under1yr,pop_edu_GED,pop_edu_hs,fips_state_code,district
"Fort Payne City School District, Alabama",14115,9191,40273,51058,42215,16,114,686,759,871,853,673,571,1960,01,01560
"Franklin County School District, Alabama",21685,14653,43710,53438,51361,75,114,521,1424,1281,1991,965,600,4657,01,01590
"Gadsden City School District, Alabama",35486,24697,32642,31680,37755,150,380,987,2211,1754,4346,1569,1783,6484,01,01620
"Geneva City School District, Alabama",6334,4479,37184,42659,42568,0,0,333,303,309,537,323,217,1383,01,01640
"Birmingham City School District, Alabama",212297,146827,37375,41276,40400,2170,3550,9474,25015,12193,25476,7897,6117,35337,01,00390
"Blount County School District, Alabama",51113,35083,50198,61787,53663,105,178,1166,2903,4312,4844,2856,2269,9965,01,00420
"Brewton City School District, Alabama",5240,3707,42898,49375,51051,18,28,206,564,280,517,195,209,1034,01,00450
"Bullock County School District, Alabama",10248,7101,37785,15708,54261,48,69,212,527,318,955,314,313,2547,01,00480
"Butler County School District, Alabama",19828,13819,40688,44867,42761,40,121,726,1343,1017,1809,453,878,5366,01,00510
"Calhoun County School District, Alabama",55479,39849,53215,63089,62366,309,434,1909,3684,3468,7090,2689,2737,11045,01,00540
"Elba City School District, Alabama",4988,3623,43542,45946,41741,0,17,63,268,165,529,298,291,1035,01,01260
"Decatur City School District, Alabama",54478,37358,48429,43495,58491,207,539,2151,6345,3337,5779,2495,2095,8310,01,01170
"Demopolis City School District, Alabama",6807,4574,27279,25152,55184,38,55,347,530,278,665,358,200,1167,01,01200
"Dothan City School District, Alabama",67894,46917,47081,46411,58115,400,975,3123,7457,4722,7904,3186,2312,10928,01,01230
"Maxwell AFB School District, Alabama",2171,1449,91250,91944,116250,10,27,240,163,34,322,139,193,224,01,00003
"Albertville City School District, Alabama",21541,13386,45867,52485,49187,65,113,437,1522,1107,2142,738,1039,2886,01,00005
"Marshall County School District, Alabama",48765,33133,47490,50006,56181,166,213,1637,3933,2845,4914,2489,2891,8503,01,00006
"Hoover City School District, Alabama",84179,56897,88831,87828,117511,1636,2721,8716,19575,3684,8351,2532,928,6696,01,00007
"Madison City School District, Alabama",49327,33371,99188,90508,131778,1067,909,6437,11402,2475,4417,1737,629,3344,01,00008
"Leeds City School District, Alabama",12600,8688,60863,66250,77167,122,161,670,1678,1040,1530,491,247,1938,01,00011
"Clarke County School District, Alabama",18829,12983,36645,47857,40136,83,95,463,846,1173,1584,705,570,4865,01,00720
"Chambers County School District, Alabama",27389,19351,43685,56429,51172,60,149,438,1735,1917,3288,1128,1444,5833,01,00600
"Cherokee County School District, Alabama",25903,18874,41919,54144,46935,107,369,677,1254,1585,2823,983,1430,6168,01,00630
"Chilton County School District, Alabama",44055,30046,47468,47100,55518,90,237,1056,2440,2363,3499,1539,2247,11101,01,00660
"Choctaw County School District, Alabama",12925,9329,35892,58250,37185,37,40,321,715,1026,1286,652,577,2938,01,00690
"Clay County School District, Alabama",13337,9459,40845,42790,54237,21,71,345,562,901,1292,485,503,3074,01,00750
"Cleburne County School District, Alabama",14666,10268,44670,52956,56705,66,116,378,1042,581,1387,625,672,3223,01,00780
"Coffee County School District, Alabama",19182,13438,51801,58542,62857,64,62,677,1478,1547,2183,953,882,3461,01,00810
"Colbert County School District, Alabama",23238,17003,49288,50033,58732,46,124,833,1336,1297,2520,903,1392,5988,01,00840
"Conecuh County School District, Alabama",12394,8833,37837,34159,39794,62,19,323,724,687,843,275,442,4074,01,00870
"Coosa County School District, Alabama",10757,8259,38990,52868,38208,13,48,289,709,494,1190,537,648,2679,01,00900
"Covington County School District, Alabama",21973,15844,47076,55568,52973,68,70,543,1326,1513,2346,1200,1130,4880,01,00930
"Crenshaw County School District, Alabama",13844,9690,43163,50329,52218,37,39,377,1234,573,1172,412,574,3256,01,00960
"Cullman City School District, Alabama",14935,10017,48362,59540,57052,81,169,613,1646,1068,1681,670,642,2006,01,00990
"Cullman County School District, Alabama",67918,47709,44100,52052,55299,87,295,1638,3475,5275,6848,3864,3020,14000,01,01020
"Dale County School District, Alabama",15548,10819,47003,45216,57043,10,136,403,988,1088,1963,906,899,2777,01,01050
"Daleville City School District, Alabama",11042,7783,47680,51905,50903,7,33,388,855,636,1270,691,705,2037,01,01080
"Dallas County School District, Alabama",20873,14419,39109,41719,45630,17,36,581,1185,1658,2305,635,701,4813,01,01110
"DeKalb County School District, Alabama",57195,38799,40540,48922,48499,156,277,1270,2968,3605,4730,2509,3086,10814,01,01140
"Andalusia City School District, Alabama",8772,6011,37708,34545,45625,71,122,360,856,557,785,336,255,1820,01,00060
"Boaz City School District, Alabama",9277,6295,40551,43090,46875,40,64,311,829,565,1022,516,473,1235,01,00012
"Trussville City School District, Alabama",21830,14659,97483,103896,108613,386,518,1452,4304,1320,2663,901,329,2440,01,00013
"Alexander City City School District, Alabama",17483,12121,41641,42214,63679,21,273,477,1252,1126,2058,882,578,3108,01,00030
"Anniston City School District, Alabama",21688,15265,36051,40644,38490,144,221,1106,1714,1150,2779,862,778,4057,01,00090
"Arab City School District, Alabama",8293,5741,46517,53125,55547,14,47,414,863,579,936,493,363,1274,01,00100
"Athens City School District, Alabama",25922,18441,53165,54474,75585,181,336,1066,3976,1716,2395,1162,796,4374,01,00120
"Attalla City School District, Alabama",5836,3664,39247,33189,40758,15,29,133,150,237,644,455,266,1104,01,00180
"Auburn City School District, Alabama",64054,31641,47318,51266,98039,2066,980,5354,9942,2123,4559,1177,648,2971,01,00210
"Autauga County School District, Alabama",55380,37367,58731,62408,81538,536,499,2875,6019,3141,5315,2140,1910,10641,01,00240
"Baldwin County School District, Alabama",212830,151112,58320,64440,66294,1623,2912,11812,31801,14276,22477,10521,7955,33842,01,00270
"Barbour County School District, Alabama",13296,9837,32243,32713,36168,7,67,178,489,535,1274,478,903,2683,01,00300
"Bessemer City School District, Alabama",26680,18219,32301,29203,40276,62,59,531,1979,1709,3023,869,847,6062,01,00330
"Bibb County School District, Alabama",22493,16168,47542,51140,53315,67,80,488,1043,1189,1898,761,1555,5701,01,00360
"Pelham City School District, Alabama",23428,16442,80510,80165,93633,209,302,1774,4276,1471,3165,1240,457,2473,01,00194
"Muscle Shoals City School District, Alabama",14103,9634,60629,70000,67375,16,130,581,1736,741,1929,420,572,2534,01,02520
"Oneonta City School District, Alabama",6568,4708,39669,77721,41750,14,88,227,529,674,597,236,318,747,01,02550
"Opelika City School District, Alabama",30232,20676,48459,52195,56219,242,512,2039,3342,1644,3435,1313,1129,5015,01,02580
"Opp City School District, Alabama",6455,4469,36609,49844,38594,0,12,175,417,495,549,338,296,1438,01,02610
"Oxford City School District, Alabama",23258,15579,55468,63664,68365,194,213,995,2055,1392,2620,1286,955,3523,01,02635
"Vestavia Hills City School District, Alabama",34307,23606,109485,121125,133804,1053,2196,4093,9012,968,2732,836,156,1983,01,03430
"Walker County School District, Alabama",50461,35642,42832,45590,53527,79,253,818,2193,3597,4774,3105,3106,10559,01,03450
"Washington County School District, Alabama",16541,11346,41370,52416,50938,4,88,545,800,971,1333,748,444,4442,01,03480
"Wilcox County School District, Alabama",10681,7114,31014,37078,28689,4,43,215,627,396,905,441,224,2584,01,03510
