district_name,pop_white,pop_black,pop_amerindian,pop_asian,pop_nativehawaii,pop_otherrace,pop_tworaces,pop_hispanic,pop_white_m_15-17,pop_white_m_18-19,pop_white_f_15-17,pop_white_f_18-19,pop_black_m_15-17,pop_black_m_18-19,pop_black_f_15-17,pop_black_f_18-19,pop_amerindian_m_15-17,pop_amerindian_m_18-19,pop_amerindian_f_15-17,pop_amerindian_f_18-19,pop_asian_m_15-17,pop_asian_m_18-19,pop_asian_f_15-17,pop_asian_f_18-19,pop_nativehawaii_m_15-17,pop_nativehawaii_m_18-19,pop_nativehawaii_f_15-17,pop_nativehawaii_f_18-19,pop_otherrace_m_15-17,pop_otherrace_m_18-19,pop_otherrace_f_15-17,pop_otherrace_f_18-19,pop_tworaces_m_15-17,pop_tworaces_m_18-19,pop_tworaces_f_15-17,pop_tworaces_f_18-19,pop_hispanic_m_15-17,pop_hispanic_m_18-19,pop_hispanic_f_15-17,pop_hispanic_f_18-19,fips_state_code,district
"Fort Payne City School District, Alabama",9972,476,26,17,0,0,376,3248,149,74,176,87,4,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,85,0,45,9,14,24,0,13,85,100,83,9,01,01560
"Franklin County School District, Alabama",19112,433,88,10,0,10,268,1764,386,233,395,163,3,0,14,0,0,0,0,0,3,0,1,0,0,0,0,0,19,0,3,9,7,0,7,0,86,0,26,19,01,01590
"Gadsden City School District, Alabama",19267,12613,121,371,0,20,564,2530,277,239,234,139,274,277,306,171,0,0,32,26,0,0,0,0,0,0,0,0,0,0,14,9,22,4,7,0,105,6,74,22,01,01620
"Geneva City School District, Alabama",5181,804,0,0,0,0,89,260,9,0,100,0,0,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,01640
"Birmingham City School District, Alabama",50508,147777,509,2277,44,188,2795,8199,299,824,288,1055,2816,1865,2407,1562,0,17,15,0,0,23,12,19,0,0,0,0,24,38,65,21,27,24,74,171,146,38,190,187,01,00390
"Blount County School District, Alabama",44843,429,40,174,25,0,764,4838,942,547,845,464,0,51,0,0,0,0,0,0,0,10,0,0,0,0,0,0,12,0,2,11,31,40,0,39,141,71,117,25,01,00420
"Brewton City School District, Alabama",2836,2119,0,87,0,28,74,96,76,22,40,3,9,0,31,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,0,0,0,0,0,01,00450
"Bullock County School District, Alabama",2191,7666,0,50,0,1,78,262,107,0,0,52,121,302,162,66,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,01,00480
"Butler County School District, Alabama",10232,8928,11,69,0,0,311,277,159,90,158,92,244,120,188,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,47,0,0,0,26,0,01,00510
"Calhoun County School District, Alabama",46292,5687,160,451,0,161,1206,1522,1156,392,889,222,97,49,52,31,27,0,0,31,17,0,16,0,0,0,0,0,2,24,0,6,66,89,16,0,60,24,0,38,01,00540
